College Name,Math SAT,Verbal SAT,ACT,App_received,App_accepted,New_std_enrolled,FT_undergrad,PT_undergrad,Instate_tuition,Outofstate_tuition,Estim_book_costs,Estim_perrsonal_cost,FacwPHDPerc,Studtofac_ratio,Graduation_rate
Lewis-Clark State College,445,397,21,1001,551,428,1970,1256,1412,5120,908,1721,60,12.1,44
Bradley University,590,530,25,3767,3414,1061,4531,643,10870,10870,2000,1522,75,14.4,85
Illinois College,545,470,23,894,787,262,909,28,8050,8050,600,1000,75,15.6,52
Illinois Institute of Technology,603,499,25,1756,1360,478,1911,626,14550,14550,500,700,80,12.3,56
Illinois Wesleyan University,617,534,28,3050,1342,471,1818,23,14360,14360,400,650,77,12.9,83
Kendall College,420,450,18,150,150,121,338,33,6900,6900,800,1500,24,15.9,80
Knox College,570,530,25,1040,845,286,967,24,15747,15747,400,800,88,12.7,79
Loyola University Chicago,529,482,24,3579,2959,868,5244,3417,11500,11500,700,2000,94,6.2,65
Millikin University,541,511,24,1444,1261,456,1788,95,11910,11910,450,965,60,11.4,75
Monmouth College,470,470,23,601,503,204,671,11,13000,13000,400,460,91,11.6,56
North Central College,556,483,25,1127,884,308,1310,766,11718,11718,450,1800,73,16.4,76
North Park College,526,466,22,465,361,176,879,156,12580,12580,400,970,76,13.1,74
Northwestern University,670,600,29,12289,5200,1902,7450,45,16404,16404,759,1585,96,6.8,92
Quincy University,528,496,23,1025,707,297,1070,72,10100,10100,450,1080,69,16.3,80
University of Illinois - Urbana,617,522,27,14939,11652,5705,25422,911,2760,7560,500,1982,87,17.4,81
Anderson University,462,423,21,1216,908,423,1819,281,10100,10100,550,1100,48,12.1,59
Ball State University,473,422,21,9361,7910,3849,16148,2207,2864,7244,500,1500,69,17.7,51
Butler University,544,484,25,2362,2037,700,2607,148,13130,13130,500,1600,77,10.9,83
Earlham College,570,550,25,1358,1006,274,1028,13,15036,15036,600,600,90,10.6,78
Franklin College,532,481,22,804,632,281,840,68,10390,10390,525,1345,54,12.5,60
Hanover College,541,486,24,1006,837,317,1024,15,8200,8200,500,1200,84,10.6,64
Huntington College,480,422,21,450,430,125,488,43,9950,9950,300,1300,76,11.8,47
University of Indianapolis,487,432,21,1487,1276,388,1417,1646,11120,11120,525,1405,55,11.1,69
University of Southern Indiana,429,384,18,2379,2133,1292,4283,2973,2040,4973,500,1425,56,22,38
Indiana University at Bloomington,530,466,24,16587,13243,5873,24763,2717,2984,9766,600,2000,77,21.3,68
Indiana Univ.-Purdue Univ. at Indianapolis,428,388,19,4630,3655,2301,9216,11176,2766,8490,600,2200,69,10.4,25
Manchester College,508,442,22,1004,802,239,909,51,10440,10440,525,1450,63,11.8,64
Indiana Wesleyan University,455,408,21,735,423,366,2448,707,9210,9210,700,1000,49,39.8,34
Purdue University at West Lafayette,545,453,24,21804,18744,5874,26213,4065,2884,9556,570,1060,86,18.2,67
Saint Francis College,450,410,21,213,166,85,513,247,8670,8670,450,1000,43,12.5,48
Saint Joseph's College,494,423,22,920,684,225,815,222,11200,11200,600,950,55,14.8,67
Saint Mary-of-the-Woods College,422,392,20,150,130,88,341,768,10300,10300,500,1700,44,10.2,75
Saint Mary's College,538,488,25,888,734,393,1433,27,12730,12730,500,1525,74,9.9,98
Taylor University,579,513,25,1769,1092,437,1757,81,10965,10965,450,1250,60,14.2,98
Tri-State University,502,409,21,1262,1102,276,978,98,9456,9456,468,1323,53,12.8,65
Indiana State University,434,391,20,5659,4761,3147,8596,1949,2802,6892,600,2500,72,16.6,40
Bellarmine College,515,474,23,807,707,308,1198,605,8840,8840,750,1290,74,13.1,84
Centre College,575,534,27,1013,888,288,943,7,11850,11850,600,900,95,11.4,74
Cumberland College,470,420,21,995,789,398,1306,122,6230,6230,400,600,42,13,63
Kentucky Wesleyan College,450,410,22,584,497,175,662,121,8000,8000,500,1300,57,11.3,62
Transylvania University,564,532,26,759,729,244,867,51,10900,10900,500,1000,81,12.1,70
Union College,440,390,20,484,384,177,634,78,7800,7800,500,600,60,14.1,64
Thomas More College,512,452,23,808,594,218,756,502,9490,9490,400,880,65,10.5,66
Centenary College of Louisiana,550,500,25,495,434,210,775,44,8950,8950,600,1900,86,11.3,66
Louisiana State University at Baton Rouge,529,468,23,5996,4993,3079,16269,3757,2625,5925,600,2242,83,15.9,37
University of New Orleans,500,447,21,2406,2139,1501,8158,3643,2362,5154,800,1790,75,17.9,19
Loyola University,540,510,25,1891,1698,719,2740,761,11100,11100,600,750,77,11.7,53
Xavier University of Louisiana,469,438,21,2097,1915,695,2793,166,6900,6900,617,781,67,14.4,49
Amherst College,685,639,25,4302,992,418,1593,5,19760,19760,660,1598,93,8.4,100
Boston University,600,550,26,20192,13007,3810,14971,3113,18420,18420,475,1025,80,11.9,72
Massachusetts Institute of Technology,742,639,31,6411,2140,1078,4481,28,20100,20100,725,1600,99,10.1,94
Mount Holyoke College,571,549,27,1800,1314,526,1891,40,19300,19300,750,750,79,9,84
Northeastern University,531,467,23,11901,8492,2517,11160,10221,13380,13380,600,1750,73,12.9,46
Pine Manor College,391,373,20,354,323,125,372,28,15190,15190,400,500,46,8.9,67
Simmons College,480,460,24,1003,782,295,1144,160,16160,16160,500,1200,74,8.9,79
Wheaton College,550,530,24,1738,1373,417,1335,30,18460,18460,700,850,92,13.2,71
Worcester Polytechnic Institute,660,540,28,2768,2314,682,2802,86,15884,15884,530,730,92,15.2,82
Hood College,509,485,24,699,565,176,710,399,13960,13960,450,690,82,14.4,72
Johns Hopkins University,686,606,30,8474,3446,911,3566,1569,18800,18800,500,1040,96,3.3,90
Salisbury State University,554,491,22,4216,2290,736,4296,1027,2328,5130,600,1450,73,17.9,56
University of Maryland at Baltimore County,578,505,23,4269,2594,985,6476,2592,3338,8594,494,2768,82,18.4,55
Colby College,610,560,26,2848,1319,456,1720,35,18930,18930,500,1000,83,10.2,91
Calvin College,567,505,25,1784,1512,913,3401,136,10230,10230,400,1210,75,14.8,81
Concordia College,500,485,20,180,171,74,562,18,10430,10430,400,500,55,11.6,84
Eastern Michigan University,465,431,21,6693,5423,2242,13142,6421,2482,6360,600,1200,74,20.6,49
Hillsdale College,550,520,24,920,745,347,1133,42,11090,11090,400,750,80,12,79
Michigan State University,524,461,23,18114,15096,6180,26640,4120,4103,10658,504,600,93,14,71
Michigan Technological University,620,512,26,2618,2288,1032,5524,414,3510,8127,900,1200,82,17,65
University of Detroit Mercy,498,439,21,927,731,415,2149,2217,11130,11130,600,2166,72,13.5,51
Center for Creative Studies,470,450,21,601,396,203,525,323,11230,11230,2340,620,8,6.8,47
University of Michigan at Ann Arbor,634,543,27,19152,12940,4893,22045,1339,5040,15732,476,1600,90,11.5,87
Augsburg College,580,460,22,662,513,257,2074,726,11902,11902,540,950,65,12.8,58
College of Saint Benedict,526,484,23,938,864,511,1715,103,12247,12247,500,600,70,13.1,72
College of Saint Catherine,469,482,22,511,411,186,1692,562,12224,12224,450,1000,63,11.5,77
College of St. Scholastica,487,443,23,672,596,278,1350,275,11844,11844,450,1146,54,11.6,72
University of St. Thomas,530,464,23,2057,1807,828,4106,982,11712,11712,500,800,80,13.8,89
Gustavus Adolphus College,585,520,25,1709,1385,634,2281,50,14125,14125,400,700,79,12.5,80
Hamline University,575,535,25,1006,825,328,1362,102,13252,13252,450,550,89,13,65
Saint John's University,555,465,24,933,800,444,1691,72,12247,12247,500,600,76,12,70
Saint Olaf College,580,520,26,2248,1673,745,2888,105,14350,14350,550,550,82,10,83
University of Minnesota at Morris,650,550,26,1458,874,588,1846,154,3330,9843,600,1500,74,14.6,51
Winona State University,490,460,22,3325,2047,1301,5800,872,2200,4200,300,1200,53,20.2,58
University of Minnesota Twin Cities,568,484,23,11054,6397,3524,16502,21836,3171,8949,714,2910,88,12.2,45
Lindenwood College,435,435,22,810,484,356,2155,191,9200,9200,1000,4200,65,24.1,100
Maryville University,506,457,24,549,397,169,1343,1751,9250,9250,425,1350,52,13.1,61
Missouri Valley College,400,400,18,1310,983,316,1057,175,8550,8550,400,900,35,17.4,27
Stephens College,474,426,21,450,405,194,614,388,13900,13900,450,2150,46,10.9,59
University of Missouri at Columbia,564,502,25,6574,4637,2940,14782,1583,3030,9057,600,1983,87,12.7,58
University of Missouri at Rolla,655,547,27,1877,1826,823,3926,561,3030,9057,700,1435,88,14.4,49
Webster University,494,511,23,665,462,226,1739,1550,9160,9160,500,500,68,20.6,48
Westminster College,520,480,24,662,553,184,665,37,10720,10720,600,1650,66,12.5,62
William Jewell College,550,510,24,663,547,315,1279,75,10060,10060,500,2600,74,11.2,59
William Woods University,482,459,21,469,435,227,851,120,10535,10535,550,3700,39,12.9,52
Millsaps College,570,550,26,905,834,319,1073,179,11320,11320,550,1350,82,12.7,58
University of Southern Mississippi,531,449,22,2850,2044,1046,9260,1387,2392,4652,500,500,78,18.7,45
Carroll College,450,500,23,529,492,261,1093,322,8650,8650,390,1050,49,14.1,58
Montana College of Mineral Sci. & Tech.       MT,575,481,22,572,544,320,1470,416,2013,6073,550,1400,71,16.4,74
Montana State University,520,440,23,3500,2836,1779,8730,993,1576,5552,550,2300,75,17.6,37
Rocky Mountain College,444,426,21,560,392,270,743,118,8734,8734,600,625,56,11.3,68
Appalachian State University,519,471,22,7313,4664,1910,9940,1035,740,6806,96,2000,83,18.3,70
University of North Carolina at Asheville,550,504,24,1757,979,394,2033,1078,608,5972,600,750,77,13,37
Bennett College,395,385,17,774,542,193,650,14,5600,5600,750,2000,63,12.1,44
Davidson College,650,580,29,2373,956,452,1601,6,17295,17295,600,1011,95,12,94
Duke University,687,615,30,13789,3893,1583,6188,53,18590,18590,625,1162,95,5,97
East Carolina University,486,435,18,9274,6362,2435,13171,1687,764,7248,500,1700,74,13.2,58
Gardner Webb University,445,400,19,1110,930,332,1603,374,8180,8180,500,500,65,15.2,29
Guilford College,530,500,24,1202,1054,326,1410,299,13404,13404,450,1050,78,15.6,65
Lenoir-Rhyne College,482,439,21,979,743,259,1188,166,10100,10100,400,1000,88,12,66
Montreat-Anderson College,443,427,20,263,223,103,316,20,8438,8438,500,2958,42,11.1,15
North Carolina Wesleyan College,432,394,20,812,689,195,646,84,8242,8242,600,1295,77,12.7,52
Queens College,514,491,26,516,392,154,630,549,11020,11020,610,1900,73,14,58
Salem College,508,494,24,335,284,132,534,216,10475,10475,500,2000,68,11.2,60
University of North Carolina at Charlotte,491,435,21,5803,4441,1730,10099,3255,764,7248,600,1900,79,16.8,62
University of North Carolina at Wilmington,494,441,21,6071,3856,1449,6635,1145,1492,7558,500,1500,82,19.1,55
Wingate College,442,400,22,1239,1017,383,1207,157,7820,7820,550,1550,69,13.9,91
University of North Dakota,535,465,23,2777,2249,1652,8334,1435,2110,5634,450,1200,97,15.9,49
University of Nebraska at Lincoln,513,447,22,6277,6003,3526,16454,3171,2055,5595,500,2070,86,15.1,53
Centenary College,500,470,19,369,312,90,396,526,11400,11400,500,760,41,9.5,24
College of Santa Fe,480,484,21,546,447,189,873,683,11138,11138,600,1200,40,14,80
College of the Southwest,460,390,19,77,61,27,352,147,3120,3120,400,500,24,14.3,20
University of Nevada at Reno,488,432,22,2868,2409,1524,5916,2939,1740,6490,600,2900,78,15.4,54
Dowling College,440,400,18,1011,829,410,1059,2458,9000,9000,450,1413,77,12.4,42
Cazenovia College,392,375,19,3847,3433,527,1010,12,9384,9384,600,500,22,14.3,118
Colgate University,623,563,27,4856,2492,727,2649,25,19510,19510,500,750,95,10.5,93
College of Mount St. Vincent,474,454,23,946,648,177,707,432,11790,11790,500,1000,75,11.9,83
D'Youville College,497,435,22,866,619,157,1074,336,8920,8920,680,1320,68,14.6,46
Elmira College,496,463,23,1457,1045,345,1109,502,14990,14990,450,550,77,21.5,64
Hartwick College,524,478,23,2083,1725,430,1464,67,17480,17480,500,700,75,12.3,73
Hofstra University,540,470,24,7428,5860,1349,6534,1350,11600,11600,1000,1000,81,13.9,60
Houghton College,535,508,24,949,786,302,1210,26,9990,9990,500,1500,85,15,67
Iona College,457,410,19,4892,3530,913,3906,1446,10690,10690,570,1150,66,16,66
Keuka College,495,451,22,461,381,174,738,55,9600,9600,600,750,55,13.3,51
Marist College,515,475,25,4731,3171,830,3557,658,10700,10700,550,1200,74,17.6,69
Marymount Manhattan College,500,460,24,695,535,239,988,785,10200,10200,350,1100,63,11.7,68
Mount Saint Mary College,450,450,19,1170,695,238,1170,429,7470,7470,250,1400,74,15.3,88
Nazareth College of Rochester,540,494,24,947,798,266,1274,471,10850,10850,550,800,77,13.6,61
Nyack College,472,433,21,460,283,160,508,34,7950,7950,600,1200,35,11.6,55
Roberts Wesleyan College,473,442,21,459,422,212,932,107,10220,10220,520,1400,45,13.4,46
Skidmore College,570,520,25,4293,2728,591,2322,263,18710,18710,500,700,87,12.7,81
Siena College,560,491,24,2961,1932,628,2669,616,10800,10800,575,1090,71,14.1,100
St. Bonaventure University,535,478,25,1489,1313,375,1688,131,10456,10456,500,1050,91,17.7,78
St. John Fisher College,525,465,22,1368,1064,354,1687,677,10570,10570,400,800,86,14.5,66
St. Joseph's College,483,442,19,707,512,222,1671,1512,7350,7350,600,1500,52,13.6,74
SUNY at Binghamton,615,533,26,14463,6166,1757,8544,671,2650,6550,700,1000,83,18,80
SUNY College at Brockport,506,446,22,7294,3564,904,5758,1363,2650,6550,500,705,79,19,49
SUNY College at Cortland,524,460,23,7888,3519,1036,5011,346,2650,6550,630,1274,82,17.8,53
SUNY College at Fredonia,525,472,23,4877,2798,814,4123,298,2650,6550,620,1481,82,16.3,66
SUNY College at Geneseo,608,541,26,8598,4562,1143,5060,146,2650,6550,600,650,79,19.1,76
SUNY College at New Paltz,537,479,24,8399,3609,656,4658,1478,2650,6550,550,1500,85,15.3,53
SUNY College at Oneonta,509,463,22,7500,4350,872,4627,483,2650,6550,500,1350,70,17.1,60
SUNY College at Oswego,550,480,24,8000,4556,1464,6943,869,2650,6550,500,1500,69,22,63
SUNY College at Plattsburgh,520,460,22,5549,3583,853,5004,475,2650,6550,600,1380,80,17.9,65
SUNY College at Potsdam,540,500,23,3150,2289,650,3598,234,2650,6840,500,1000,71,15.1,59
Utica College of Syracuse University,496,437,28,1278,978,256,1525,798,12680,12680,525,1175,64,12.3,65
Vassar College,625,603,27,3550,1877,653,2164,77,18920,18920,600,800,90,9.7,90
Wells College,590,490,24,318,240,130,416,19,14900,14900,600,500,93,8.3,69
Ashland University,438,410,21,1454,1267,424,1874,757,11431,11431,600,1700,43,17.4,66
Baldwin-Wallace College,529,468,23,1690,1366,662,2718,1460,10995,10995,1000,1000,68,17.6,85
Bluffton College,512,438,23,692,514,209,760,81,9900,9900,400,900,76,13.3,58
Bowling Green State University,497,449,22,9251,7333,3076,13699,1213,3070,7452,600,1700,81,21.1,67
Cedarville College,524,486,24,1307,1090,616,2196,82,7344,7344,570,1000,50,15.3,64
College of Mount St. Joseph,480,440,21,798,620,238,1165,1232,9800,9800,400,1150,46,11.1,100
Franciscan University of Steubenville,516,488,24,553,452,228,1301,242,9650,9650,600,1000,57,14.9,83
College of Wooster,570,530,24,2100,1883,553,1704,1,16240,16240,500,500,84,11.1,69
Defiance College,438,381,21,571,461,174,645,283,10850,10850,400,1159,58,12.8,56
Heidelberg College,500,420,22,738,687,241,964,242,13780,13780,500,500,68,12.5,65
Hiram College,540,510,24,922,729,244,1000,275,14067,14067,400,1000,75,10.6,79
John Carroll University,561,502,23,2421,2109,820,3168,392,11700,11700,600,450,89,14.5,89
Kent State University,462,424,21,9210,3040,7425,15615,3230,3927,7854,500,1350,81,20.8,46
Kenyon College,593,570,27,2212,1538,408,1445,1,19240,19240,750,480,95,11.1,88
Malone College,479,433,21,874,758,428,1605,246,9858,9858,450,1200,42,17.6,55
Muskingum College,490,436,22,1109,922,375,1115,70,13240,13240,600,800,73,13.4,73
Oberlin College,623,596,29,4778,2767,678,2587,120,19670,19670,575,1119,77,10.1,83
Ohio Northern University,541,465,24,2936,2342,669,2502,66,15990,15990,600,825,73,14.5,83
Ohio University,520,473,24,11023,8298,3183,14861,1310,3552,7629,550,2300,79,20.4,64
Ohio Wesleyan University,575,528,25,2190,1700,458,1780,48,16732,16732,550,550,93,12.1,75
Tiffin University,372,308,19,845,734,254,662,351,7600,7600,600,1200,59,19,39
University of Akron,467,413,20,6305,5190,3211,12487,9295,2888,7650,550,2100,71,16.7,43
University of Cincinnati,533,464,23,6855,5553,2408,11036,2011,3234,8907,556,1851,89,10.8,54
University of Dayton,578,504,25,6361,5293,1507,5889,665,11380,11380,500,900,81,14.8,93
University of Toledo,504,447,20,3055,2959,1527,15428,5370,2693,7441,550,500,81,20.4,48
Ursuline College,434,404,21,325,260,86,699,717,9600,9600,450,750,39,10.5,68
Wittenberg University,577,524,25,1979,1739,575,1980,144,15948,15948,400,800,82,12.8,78
Xavier University,521,475,24,1959,1805,695,2849,1107,11520,11520,600,1250,73,13.3,83
Antioch University,504,516,24,713,661,252,712,23,15476,15476,400,1100,69,11.3,48
Oklahoma Christian University,480,440,22,776,765,351,1419,228,6400,6400,500,1900,58,16.2,45
Oklahoma State University,540,477,24,4522,3913,2181,12830,1658,1889,5336,800,3100,84,15.3,48
Phillips University,465,423,22,692,576,174,597,83,10500,10500,600,940,58,11.6,39
University of Tulsa,576,525,24,1712,1557,696,2936,433,11750,11750,1200,2350,94,11.5,47
Oral Roberts University,520,490,23,1223,650,632,2645,167,7950,7950,480,1000,51,15.5,45
Concordia College,466,434,19,299,206,81,811,206,9600,9600,500,750,56,14.3,41
Linfield College,556,495,25,1561,1188,458,1548,840,13380,13380,500,900,89,17.8,81
Oregon State University,522,443,22,4675,3948,1637,10332,929,2841,7890,543,2244,88,13.9,45
Pacific University,542,479,24,943,849,288,1041,35,14210,14210,450,1100,76,10.9,42
Reed College,632,603,28,1966,1436,327,1199,61,19960,19960,500,450,90,11.8,68
Warner Pacific College,460,415,21,112,87,53,503,91,7940,7940,450,1220,39,12.9,29
Willamette University,575,525,25,1658,1327,395,1595,159,14800,14800,400,790,91,13.3,68
Albright College,537,486,24,1038,839,227,973,306,15595,15595,300,500,79,11.3,80
Carnegie Mellon University,679,555,28,8728,5201,1191,4265,291,17900,17900,450,1250,86,9.2,74
Cedar Crest College,490,470,21,776,607,198,791,764,14340,14340,500,1000,58,11.7,74
Chatham College,481,491,22,212,197,91,471,148,13500,13500,400,850,95,9.3,52
Eastern College,479,452,23,458,369,165,1057,355,11190,11190,450,1230,60,13.6,54
Franklin and Marshall College,600,500,26,3270,2120,508,1748,40,24940,24940,590,730,93,10.9,86
Gannon University,518,464,23,2464,1908,678,2693,691,10970,10970,500,1380,47,13.3,65
Geneva College,502,460,22,668,534,237,1306,258,9476,9476,500,1100,67,20.1,74
Grove City College,607,537,27,2491,1110,573,2213,35,5224,5224,525,350,65,18.4,100
Lycoming College,493,451,21,1286,1005,363,1363,74,13900,13900,500,900,75,14,72
Messiah College,555,509,24,1742,1382,607,2258,53,10300,10300,475,1200,68,14.1,89
Muhlenberg College,565,506,24,2519,1836,462,1656,352,16975,16975,600,850,76,12.8,83
Widener University,521,491,20,2139,1492,502,2186,2171,12350,12350,500,1350,88,12.6,63
Point Park College,424,418,21,875,744,207,1173,1402,9700,9700,400,1200,45,14.5,66
Robert Morris College,453,400,20,907,771,387,2621,1808,6540,6540,500,1000,58,18.5,58
Thiel College,444,418,20,1154,951,253,791,140,11172,11172,700,1350,68,11.6,60
University of Pennsylvania,680,594,29,12394,5232,2464,9205,531,17020,17020,500,1544,95,6.3,93
Westminster College,530,470,24,996,866,377,1411,72,12065,12065,430,685,62,12.5,80
Brown University,680,620,28,12586,3239,1462,5643,349,19528,19528,720,1100,99,7.6,97
